COUNTYNAME,TOWNNAME,TOWNCODE,AREA,POPULARITY,人口密度
臺南市,將軍區,67000160,41.98 ,18070.00 ,430.45 
臺南市,北門區,67000170,44.10 ,9712.00 ,220.23 
臺南市,新化區,67000180,62.06 ,42292.00 ,681.49 
臺南市,善化區,67000190,55.31 ,53300.00 ,963.66 
臺南市,新市區,67000200,47.81 ,37913.00 ,793.00 
臺南市,安定區,67000210,31.27 ,29842.00 ,954.33 
臺南市,山上區,67000220,27.88 ,6916.00 ,248.08 
臺南市,玉井區,67000230,76.37 ,12830.00 ,168.01 
臺南市,楠西區,67000240,109.63 ,8532.00 ,77.82 
臺南市,南化區,67000250,171.52 ,7786.00 ,45.39 
臺南市,左鎮區,67000260,74.90 ,4124.00 ,55.06 
臺南市,仁德區,67000270,50.77 ,77574.00 ,1528.06 
臺南市,歸仁區,67000280,55.79 ,69818.00 ,1251.41 
臺南市,關廟區,67000290,53.64 ,33048.00 ,616.09 
臺南市,龍崎區,67000300,64.08 ,3352.00 ,52.31 
臺南市,永康區,67000310,40.28 ,235623.00 ,5850.31 
臺南市,東區,67000320,13.42 ,181962.00 ,13563.46 
臺南市,南區,67000330,27.27 ,120323.00 ,4412.59 
臺南市,北區,67000340,10.43 ,125821.00 ,12058.75 
臺南市,安南區,67000350,107.20 ,203838.00 ,1901.45 
臺南市,安平區,67000360,11.07 ,70321.00 ,6354.52 
臺南市,中西區,67000370,6.26 ,77124.00 ,12320.13 
高雄市,鹽埕區,64000010,1.42 ,22275.00 ,15729.82 
高雄市,鼓山區,64000020,14.75 ,141277.00 ,9576.61 
高雄市,左營區,64000030,19.38 ,197784.00 ,10204.36 
高雄市,楠梓區,64000040,25.83 ,194404.00 ,7526.99 
高雄市,三民區,64000050,19.79 ,330287.00 ,16692.46 
高雄市,新興區,64000060,1.98 ,49573.00 ,25082.47 
高雄市,前金區,64000070,1.86 ,27199.00 ,14644.38 
高雄市,苓雅區,64000080,8.15 ,163295.00 ,20030.79 
高雄市,前鎮區,64000090,19.12 ,178290.00 ,9324.45 
高雄市,旗津區,64000100,1.46 ,25587.00 ,17478.65 
高雄市,小港區,64000110,45.44 ,154354.00 ,3396.68 
